"Page Number","Chapter","Text Title","Sidebar Vocabulary"
"10","1","This Is Me","health worker, upper secondary school, excited, vocational, healthcare, Healthcare, Childhood and Youth Development, mental, development, qualified, profession, education programme, pharmacy technician, foundation course, basic skills, ambulance service technician, vehicle, attend, intermediate course, apprentice, severe, crucial, dental assistant, Health Service, advanced course, regular hours, primary school, child care and youth worker, trade examination, special needs, be entitled to, provide, cooperate, guardian, make oneself useful"
"14","1","Play the Game",""
"16","1","Learning Strategies",""
"18","1","Vocational English","vocational, profession, topic, knowledge, current, issue, vocabulary, HSE, compare, dictionary entry, term, hematoma, noun, pronounce, plural, tissue, blood vessel, equipment, source, demanding, further, assess, progress"
"26","1","English at Work","achieve, unique, tribe, invade, trade, impact, Old Norse, conquer, considerable, establish, invention, pace, corporation, factory, employees, instruction manual"
"30","1","Discovering the Meaning of Words","porch, step, approaching, reveal, imitate, succeed, pride, rag doll, lap, apply to, tussle, subject, impatient, seize, dash, fragment, path, well-house, spout, gush, awaken, eager, quiver, long for, stretch, spell, proud, difference, mug, thought"
"36","1","Tools for Language Learning","tool, improve, grammar, audio, pronounce, word class, noun, provide, spell checker, suggest, pop up, detect, improper, common, spelling, device, tutorial"
"40","1","Important Events in Healthcare","inappropriate, superintendent, facilities, pharmacologist, sample, fungus, antibiotic, tribe, crescent, humanitarian, staff, civilians, chalk, jar, detergent, fluoride, decay"
"44","1","Sharing Information: ""Show and Tell""",""
"46","1","Hall of Fame","hall of fame, champion, politician, preacher, truth seekers"
"50","1","Chapter Checkpoint",""
"54","2","Safety First!","disease, related to, agriculture, mining, construction, lumberjack, employee, include, protective, hardhat, goggles, prevent, recovery, obvious, precautions, ergonomics, avoid, injury, properly, spread, rubber, disinfectant, hazard, employer, conditions, concern, accident, common, safety rules"
"60","2","Writing a Report",""
"62","2","The Accident","midwife, contraption, convoy, terrifying, stern, pedal, stone, pour, well-earned, encouragement, kerb, proclaim, indomitable, comic turn, venture, occur, fixed, confusion, apparently, hurl, full frontal, emit, gutter, groan, peer, dazed, whingeing, merely, make a fuss, outraged, vanish, menace, assault, offence, escort, concussion, erratic, horrified, remorseful, bicycle, decide, straight forward, cross, slap, bean, suffer, injured"
"68","2","Signs",""
"70","2","Stress","affect, identify, cause, handle, fatigue, anxiety, participate, behaviour, work performance, increase, supervisor, sort out, state, perform, alert, tedious, supervision, harassment, amount, prevent, relief, encourage, sufficient, duty, burn-out"
"74","2","Giving Instructions","purpose, procedure, repeat, straight, firm grip, straighten"
"76","2","Typhoid Mary","typhoid, cause, outbreak, disease, temper, maid, investigator, source, coincidence, excrement, refuse, proof, carving fork, closet, capture, specimen, cage, trial, named"
"82","2","61 Hours","sport, Band-Aid, aisle, presumably, bounce, ragdoll, blow, bust, collar bone, cradle, medic, imply, consent, snapped, clean break, compound, circuit breaker, heal, sprain, wrist, minor, contusion, cell phone, windshield, wheel, miles, the Lakes, mayhem, tow truck, pile-up"
"86","2","Chapter Checkpoint",""
"90","3","Something About Me","ticking along, pretty solidly, get rid of, rubbish, in public, apply for, subject, punch, weird, paragraph, incredibly, pathetic, carry on, clear up"
"96","3","Look","eyebrow, earlobe, nostril, jaw, index finger, thumb, wrist, ankle, cheekbone, eyelid, hairline, lip"
"100","3","Does My Head Look Big in This?","confront, relief, insult, interrogation, exception, outcast, approach, appalled, dropped from the cradle, bald, flicker, punch, rocked, genuinely, huddle, defeat, purpose, spiritual roadtrip, Judaism, Catholicism, interpret, veil, extent, suede, goss, tart, chick flick, decomposed, admit, pious, hypocritical, coward, ""wog"", audience, appreciate, cope, average, force, horrified, shower, per cent, gossip, chicken out, excuse, recognize"
"108","3","Structuring Paragraphs",""
"110","3","My Strange Addictions","pee, sheet, emergency room (ER), scoop, severely, Hoover vacuum, condiment, spice, aisle, stare, clerk, bagger, amusement park, roller coaster, vomit, trash can, cotton candy, waist, escort, pound, artificial, peak, consume, cereal, downward, pass out, dehydration, poison, side effect, occasional, frizz, moisture, foggy, TMZ, sink, obscenity, concerned, fluid, gallon, inch, malfunction, recipe, starve, raging"
"116","3","It's a Wonderful, Digital World?","exposed to, diverse, concerned, considerable, overwhelmed, credit, outcome, cause, recent, survey, content, interact, thus, burden, research, multiple, manner, cyberbullying, significantly, reveal, affected, acknowledge, image, opinion, topic, emotional, support, diversity, increase, celebrity, spared, force, mean, benefit, escape"
"122","3","Using Formal and Informal Language",""
"124","3","Simon vs the Homo Sapiens Agenda","confide in, blackmail, excerpt, entire, shrug, atrium, stampede, reassurance, relieved, locker, nod, toss, slat, etch, evil, dread, cheek, Elmo, yank, stink-eye, disaster, dozen, rehearsal, harass, taunt, apology, knuckle, progressive, rip me a new one, humiliate, sob, sigh"
"130","3","Chapter Checkpoint",""
"134","4","Iconic Images","impression, impact, opinion, civic engagement, civil rights, plesiosaurus, supposedly, hoax"
"138","4","Nothing on This Page is Real by Eli Saslow","gullible, gaunt, caravan, voting booth, oblivious, trademark, phrasing, awkward, recoil, yank, confirm"
"146","4","Selecting Sources",""
"148","4","Boy A by Jonathan Trigell","guilty, horrible, released, public outrage, case worker, past, landlady, coworker, disappear, tail off, stock, panic button, pager, saliva, hover, do time, pick-up, engaged, tremulous, quiver, spew out, notch, squirm, hallway, deserted, pre-dawn, squalid, ominous, devoid of, determined, cautiously, momentum, blur, vision, wheely-bin, concealment, succession, crouch down, topple, pus-green, illuminate, letterbox, guilty, horrible, released, case worker, past, office, disappear, understand, coworker, blinded, hide, unlock, force"
"156","4","FACT FILE THE UK",""
"160","4","Life in the UK","population, former, opposed to, increase, household, poll, three quarters, independent, scholarship, fee, prestigious, rank, slogan, dentistry, resident, survey, fund, income level"
"164","4","You, Work and the Law","Working Environment Act, contribute, ensure, minimum wage, trade union, itemized, pay statement, deduct, terminate, notice, give notice, reference"
"168","4","Black Hoodie","escalator, hoodie, tail, leisure time, buzz, Transition Year, mini-company, locked, omitted, shoplifting, wastage, consultancy firm, retail outlet, practice, garda, CCTV footage, muppet, NME, overheads, premises, reconvene, wheelbarrow, shin-guards, trap, wipe, Fed, plainclothes, inflict, incarcerate, business venture"
"174","4","Apprenticeships Abroad?",""
"176","4","The Hate U Give","prestigious, fatal, registered nurse, sprout, visible, cuss, maneuver, abandoned, ignition, brights, crank, license, registration, insurance, pound, badge, buzz cut, taillight, yank, pat down, jerk, emerge, inch"
"184","4","FACT FILE USA",""
